COUNTY,mean_nri_risk,mean_my_risk,my_risk_norm
Beaverhead,65.14293869,282169.3314421286,25.54289066007086
Big Horn,51.243875754,388002.2455699174,35.123232152134136
Blaine,47.992377395,335662.2731371981,30.385246680193273
Broadwater,47.965323694999995,62923.02694319408,5.695998175975885
Carbon,53.411739524,78150.38893828998,7.074428781790411
Carter,53.37368596,343723.29652088013,31.11495687883651
Cascade,26.283451457920002,49224.223904121434,4.45593772570458
Chouteau,46.44258669,188809.5008358632,17.091653479081693
Custer,55.461280501666664,311465.834250634,28.194905902604724
Daniels,58.79156162,105627.2732804239,9.561726210052857
Dawson,56.95309899,49800.0373423435,4.50806224121424
Deer Lodge,49.9048661,279977.13787887833,25.344446129598225
Fallon,61.85130571,95139.06868973745,8.612299630944625
Fergus,41.08397152333333,116061.70371602707,10.506284976785414
Flathead,60.729877693125,234089.03286633044,21.190504796063344
Gallatin,42.014332287769236,58511.09701875604,5.296615850888127
Garfield,51.68981592,17446.560658469833,1.5793197262651004
Glacier,46.59153070675,333892.8901026914,30.22507634149912
Golden Valley,20.71302859,60558.03207984,5.48191110670602
Granite,66.51227227,302870.1679826305,27.416798081630905
Hill,33.27228908166666,144803.47356494775,13.108083977675319
Jefferson,53.56593572,125005.12016201182,11.315872281116961
Judith Basin,35.58483566,28337.60932395734,2.565213068444681
Lake,72.106621321,555628.7234954124,50.297329122562154
Lewis and Clark,33.394447537823524,53512.559352957076,4.844131874669986
Liberty,51.39965752,320752.49466714816,29.035564773658816
Lincoln,60.311722081666666,549137.2713374742,49.70970164423961
Madison,54.9481520225,44211.90041913526,4.00220581204987
McCone,64.51386577,23515.272639987757,2.1286793813315352
Meagher,33.35156733,5999.34001099289,0.5430798774274607
Mineral,62.468486895000005,355543.9521949808,32.18500128752812
Missoula,55.06780750827586,159021.86140802654,14.395178943602643
Musselshell,70.839081005,475945.94795678335,43.08418369434751
Park,51.89177726,66313.78607414885,6.002940781304267
Petroleum,11.1401798,0.0,0.0
Phillips,82.0839081,499875.7949396102,45.250391700974674
Pondera,53.52887314,217471.37029226203,19.686219635142386
Powder River,71.16967131,366188.9385723951,33.148620266694195
Powell,70.3045474,351521.56680787954,31.820881807886988
Prairie,43.62959616,229362.27938661372,20.762623613184772
Ravalli,88.07569731307693,798472.6088644306,72.28035179814943
Richland,48.597012796,240436.61688702236,21.76510886011061
Roosevelt,81.76124562,1104688.326772745,100.0
Rosebud,29.84647767,250453.6866951554,22.671886777950753
Sanders,53.9204086,393989.3880798537,35.66520787187649
Sheridan,59.996789230000005,218954.865760258,19.820510496378326
Silver Bow,59.07114958888889,273329.3594046961,24.742667481895555
Stillwater,59.054369026666656,87037.27223326643,7.878898520412411
Sweet Grass,84.61922656,60286.27323695059,5.457310607515145
Teton,36.99955604,118026.77167448039,10.684169354743322
Toole,27.240006976666667,173771.1552009787,15.730333252333415
Treasure,44.48461209,73566.25777947898,6.659458237817782
Valley,76.74768904,290204.90306008304,26.27029688164557
Wheatland,68.1788993,177959.0849026673,16.10943834471031
Wibaux,47.18165818,226596.40717365558,20.51224781524017
Yellowstone,19.250476990305557,32447.365355790924,2.937241624575069
